source_id,source_video_id,source_video,source_path,num_clips,total_duration_sec,first_clip_start_sec,last_clip_end_sec,camera_id,camera_status,notes
LF_ZmCAo38w,LF_ZmCAo38w,source.mp4,data/raw/youtube/0511_vietnam/LF_ZmCAo38w/source.mp4,66,7851.668005,0.0,7201.668,UNRESOLVED,UNRESOLVED,Timeline has 65 adjacent pair(s) at expected 10s overlap and 0 irregular pair(s); No verified structured camera mapping is available
YppQ6BEHAKY,YppQ6BEHAKY,source.mp4,data/raw/youtube/0511_vietnam/YppQ6BEHAKY/source.mp4,66,7855.059002,0.0,7205.059,UNRESOLVED,UNRESOLVED,Timeline has 65 adjacent pair(s) at expected 10s overlap and 0 irregular pair(s); No verified structured camera mapping is available
interrupted_2026-09-17,NUGc3nLuGsI,interrupted_2026-09-17.mp4,data/raw/youtube/0511_vietnam/NUGc3nLuGsI/recovered/interrupted_2026-09-17.mp4,340,40727.0,0.0,37337.0,UNRESOLVED,UNRESOLVED,Timeline has 339 adjacent pair(s) at expected 10s overlap and 0 irregular pair(s); P0 source alias 'interrupted_2026-09-17' came from the selected filename; origin video ID 'NUGc3nLuGsI' is evidenced by source_path; No verified structured camera mapping is available
