clip_id,clip_path,source_id,source_video_id,camera_id,source_start_sec,source_end_sec,duration_sec,fps,width,height,codec,sha256,qc_status,metadata_status,sampled_frame_count,vehicle_density_score,object_count_estimate,observed_classes,activity_score,motion_variation_score,brightness_score,low_light_score,visual_variation_score,foreground_occupancy_score,persistence_score,diversity_score,small_far_score,occlusion_score,boundary_edge_score,blur_score,crowded_score,fast_motion_score,hardcase_tags,hardcase_score,event_likelihood_score,event_likelihood_level,candidate_score,source_rank,global_rank,selection_rank,recommended_for_shortlist,selection_status,selection_reason,manual_review_status,manual_review_label,manual_review_notes,signal_status,prediction_status,notes
LF_ZmCAo38w_C011,data/clips/LF_ZmCAo38w_C011.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1100.0,1220.0,120.0,30.0,1920,1080,h264,68db390b8f3ab89e205b1e7c54f674228ac3ddb641f96a77c5b428d9f6888d90,PASS,WARNING,12,0.217658,8.455,NOT_INFERRED_NO_DETECTOR,0.326911,0.429075,0.428750,0.000000,0.112482,0.217658,0.909091,0.315563,0.629732,0.485446,0.212069,0.000000,0.704545,0.562924,CROWDED,0.391282,0.373425,HIGH,0.362428,49,100,100,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C012,data/clips/LF_ZmCAo38w_C012.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1210.0,1330.0,120.0,30.0,1920,1080,h264,733497bae8b13ccfbc54af50bb3825987a3152b773e75a62551e8f9fb45c1a51,PASS,WARNING,12,0.246610,10.364,NOT_INFERRED_NO_DETECTOR,0.364559,0.446176,0.433924,0.000000,0.107981,0.246610,0.909091,0.405731,0.734665,0.585974,0.272142,0.000000,0.863636,0.564654,SMALL_FAR|CROWDED,0.458316,0.392624,HIGH,0.410009,34,57,57,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C013,data/clips/LF_ZmCAo38w_C013.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1320.0,1440.0,120.0,30.0,1920,1080,h264,0891fcc99a5b65b7974c7c891ee1d738c430ea7dbfb74a13a9a716b47bbcb05c,PASS,WARNING,12,0.181645,9.273,NOT_INFERRED_NO_DETECTOR,0.313236,0.323313,0.439533,0.000000,0.108070,0.181645,0.909091,0.246144,0.724175,0.506740,0.179632,0.000000,0.772727,0.472269,SMALL_FAR|CROWDED,0.406752,0.356695,MEDIUM,0.345597,57,118,118,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C014,data/clips/LF_ZmCAo38w_C014.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1430.0,1550.0,120.0,30.0,1920,1080,h264,25f6651a323bf6766b2db703c42be6e55f8a6671792db3489b2265ea4aec37cc,PASS,WARNING,12,0.303485,10.273,NOT_INFERRED_NO_DETECTOR,0.440969,0.427589,0.437159,0.000000,0.137192,0.303485,0.909091,0.532589,0.678423,0.607402,0.337598,0.000000,0.856061,0.599357,SMALL_FAR|CROWDED,0.463309,0.437850,HIGH,0.462406,15,25,25,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C015,data/clips/LF_ZmCAo38w_C015.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1540.0,1660.0,120.0,30.0,1920,1080,h264,9ecfd913b1247ffe6668e24f5ce17cf4f289e454a1ae0d3dcf2ddfa692ac0c3e,PASS,WARNING,12,0.194773,10.727,NOT_INFERRED_NO_DETECTOR,0.309575,0.300509,0.438196,0.000000,0.098496,0.194773,0.909091,0.263561,0.740607,0.579314,0.215996,0.000000,0.893939,0.436668,SMALL_FAR|CROWDED,0.440083,0.358446,MEDIUM,0.358360,52,110,110,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C016,data/clips/LF_ZmCAo38w_C016.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1650.0,1770.0,120.0,30.0,1920,1080,h264,b6717fe5ae5fe600691505625a74ba1b35ec0f103746186400246b40418e7c66,PASS,WARNING,12,0.170436,9.727,NOT_INFERRED_NO_DETECTOR,0.280342,0.313124,0.443011,0.000000,0.076742,0.170436,0.909091,0.250417,0.727926,0.522529,0.330170,0.000000,0.810606,0.440218,SMALL_FAR|CROWDED,0.432928,0.338363,MEDIUM,0.342048,59,120,120,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C017,data/clips/LF_ZmCAo38w_C017.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1760.0,1880.0,120.0,30.0,1920,1080,h264,d2acb3da7e539bf15e2377f6e81fe5251b1154985896037528c016ffb0227398,PASS,WARNING,12,0.267702,10.455,NOT_INFERRED_NO_DETECTOR,0.374510,0.385751,0.439505,0.000000,0.102695,0.267702,0.909091,0.407160,0.759462,0.599633,0.283855,0.000000,0.871212,0.517624,SMALL_FAR|CROWDED,0.461900,0.401531,HIGH,0.416205,32,53,53,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C018,data/clips/LF_ZmCAo38w_C018.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1870.0,1990.0,120.0,30.0,1920,1080,h264,309d0ac5154e39e51a120e08e095334a97e60e406de656970c66923747b484c6,PASS,WARNING,12,0.305735,10.727,NOT_INFERRED_NO_DETECTOR,0.443536,0.422663,0.429659,0.000000,0.188991,0.305735,0.909091,0.584921,0.655718,0.629248,0.253655,0.000000,0.893939,0.583770,SMALL_FAR|CROWDED,0.454718,0.448632,HIGH,0.474257,13,20,20,YES,SELECTED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C019,data/clips/LF_ZmCAo38w_C019.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,1980.0,2100.0,120.0,30.0,1920,1080,h264,e232c6fd5107941c006c811b3ff91e2b4fc39e0e7f47b69ed58ab44b1283eda5,PASS,WARNING,12,0.217251,9.364,NOT_INFERRED_NO_DETECTOR,0.343384,0.324715,0.448554,0.000000,0.102366,0.217251,0.909091,0.297476,0.716126,0.526929,0.184127,0.000000,0.780303,0.454117,SMALL_FAR|CROWDED,0.407793,0.375914,HIGH,0.366818,47,95,95,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C020,data/clips/LF_ZmCAo38w_C020.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2090.0,2210.0,120.0,30.0,1920,1080,h264,bfa1b3c22568541d4b60dccd25198ae8753ef43f13ac5a67728b4051aba365af,PASS,WARNING,12,0.313068,10.727,NOT_INFERRED_NO_DETECTOR,0.445699,0.418673,0.438704,0.000000,0.141299,0.313068,0.909091,0.538086,0.630093,0.632547,0.225657,0.000000,0.893939,0.609039,CROWDED,0.449680,0.443125,HIGH,0.462362,16,26,26,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
