clip_id,source_id,session_id,file_path,file_name,file_size_mb,sha256,source_start_sec,source_end_sec,duration_sec,fps,frame_count,width,height,codec,metadata_source,decode_ok,decode_error_count,first_frame_ok,middle_frame_ok,last_frame_ok,full_decode_ok,duplicate_group,overlap_group,overlap_status,overlap_max_sec,overlap_max_ratio,qc_status,qc_notes
LF_ZmCAo38w_C016,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C016.mp4,LF_ZmCAo38w_C016.mp4,105.298,b6717fe5ae5fe600691505625a74ba1b35ec0f103746186400246b40418e7c66,1650.0,1770.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C017,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C017.mp4,LF_ZmCAo38w_C017.mp4,108.408,d2acb3da7e539bf15e2377f6e81fe5251b1154985896037528c016ffb0227398,1760.0,1880.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C018,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C018.mp4,LF_ZmCAo38w_C018.mp4,107.093,309d0ac5154e39e51a120e08e095334a97e60e406de656970c66923747b484c6,1870.0,1990.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C019,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C019.mp4,LF_ZmCAo38w_C019.mp4,109.963,e232c6fd5107941c006c811b3ff91e2b4fc39e0e7f47b69ed58ab44b1283eda5,1980.0,2100.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C020,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C020.mp4,LF_ZmCAo38w_C020.mp4,119.027,bfa1b3c22568541d4b60dccd25198ae8753ef43f13ac5a67728b4051aba365af,2090.0,2210.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C021,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C021.mp4,LF_ZmCAo38w_C021.mp4,96.507,98cba800e137e63155256bd799f6589b065c68ba99976d6adf25619569ed3e65,2200.0,2320.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C022,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C022.mp4,LF_ZmCAo38w_C022.mp4,112.878,47c9455d75e7a88800236618b76a623523a93ebdc0717811be7fceb526b44911,2310.0,2430.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C023,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C023.mp4,LF_ZmCAo38w_C023.mp4,108.748,a8aa745852c1042f369ca56f79a015f063ee69cd72cdeedea6f8adc814fd187a,2420.0,2540.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C024,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C024.mp4,LF_ZmCAo38w_C024.mp4,123.444,a247008e4ecb5431289c4890deaf03d9739a60e4b166a57987aa337057e68d46,2530.0,2650.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C025,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C025.mp4,LF_ZmCAo38w_C025.mp4,130.374,27f6dd7c1bd11dc74231c0de2d38979aa8dd615a770c1f3ed0e9a0c8e93e0429,2640.0,2760.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
